Model : resnet101 - Learning Type: mnist/bacp_finetune/movement_pruning/0.97
Configuration:
model_type: cv
model_name: resnet101
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet101/mnist/resnet101_mnist_movement_pruning_0.97_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet101/mnist/resnet101_mnist_movement_pruning_0.97_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 2.3016 | Avg Accuracy: 9.80 | Model Sparsity: 1.0
