Model : distilbert-base-uncased - Learning Type: wikitext2/baseline
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: wikitext2
num_classes: 30522
criterion: CrossEntropyLoss()
embedding_dim: 768
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 64
learning_rate: 5e-05
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: adamw
total_steps: 3550
warmup_steps: 355
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_baseline.pt

Epoch [1/50]: Avg Loss: 2.5880 | Avg Accuracy: 59.34 | Avg Perplexity: 7.651 | Model Sparsity: 0.0
Epoch [2/50]: Avg Loss: 2.1393 | Avg Accuracy: 61.11 | Avg Perplexity: 6.763 | Model Sparsity: 0.0
Epoch [3/50]: Avg Loss: 2.0429 | Avg Accuracy: 62.23 | Avg Perplexity: 6.323 | Model Sparsity: 0.0
Epoch [4/50]: Avg Loss: 1.9836 | Avg Accuracy: 62.83 | Avg Perplexity: 6.147 | Model Sparsity: 0.0
Epoch [5/50]: Avg Loss: 1.9415 | Avg Accuracy: 62.88 | Avg Perplexity: 6.101 | Model Sparsity: 0.0
Epoch [6/50]: Avg Loss: 1.9108 | Avg Accuracy: 63.29 | Avg Perplexity: 5.911 | Model Sparsity: 0.0
Epoch [7/50]: Avg Loss: 1.8890 | Avg Accuracy: 63.06 | Avg Perplexity: 5.972 | Model Sparsity: 0.0
Epoch [8/50]: Avg Loss: 1.8568 | Avg Accuracy: 63.21 | Avg Perplexity: 6.036 | Model Sparsity: 0.0
Epoch [9/50]: Avg Loss: 1.8350 | Avg Accuracy: 63.39 | Avg Perplexity: 5.943 | Model Sparsity: 0.0
Epoch [10/50]: Avg Loss: 1.8130 | Avg Accuracy: 63.34 | Avg Perplexity: 5.849 | Model Sparsity: 0.0
Epoch [11/50]: Avg Loss: 1.7959 | Avg Accuracy: 63.45 | Avg Perplexity: 5.838 | Model Sparsity: 0.0
Epoch [12/50]: Avg Loss: 1.7877 | Avg Accuracy: 63.62 | Avg Perplexity: 5.826 | Model Sparsity: 0.0
