Model : resnet50 - Learning Type: cifar10/bacp_finetune/wanda_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 1
pruning_epochs: 1
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: wanda_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_wanda_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_wanda_pruning_0.99_bacp_pruning.pt

Recovery epoch [1/10]: Avg Loss: 2.1487 | Avg Accuracy: 15.74 | Model Sparsity: 0.99
