Model : resnet50 - Learning Type: cifar10/bacp_TS_0.01/magnitude_pruning/0.95
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 5
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.01
base_temperature: 0.01
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_TS_0.01.pt

Epoch [1/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: 0.0000 | Avg FiC Loss: 9.7926 | Avg CE Loss: 0.5904 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6624 | Avg CE Loss: 0.5901 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6603 | Avg CE Loss: 0.5896 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6681 | Avg CE Loss: 0.5899 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6659 | Avg CE Loss: 0.5898 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6621 | Avg CE Loss: 0.5901 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6561 | Avg CE Loss: 0.5896 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6533 | Avg CE Loss: 0.5901 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6568 | Avg CE Loss: 0.5897 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6651 | Avg CE Loss: 0.5897 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6646 | Avg CE Loss: 0.5898 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6785 | Avg CE Loss: 0.5903 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6575 | Avg CE Loss: 0.5905 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6803 | Avg CE Loss: 0.5907 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6654 | Avg CE Loss: 0.5902 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6771 | Avg CE Loss: 0.5903 | Model Sparsity: 0.7448
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6729 | Avg CE Loss: 0.5907 | Model Sparsity: 0.7448
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6726 | Avg CE Loss: 0.5904 | Model Sparsity: 0.7448
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6756 | Avg CE Loss: 0.5908 | Model Sparsity: 0.7448
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6756 | Avg CE Loss: 0.5900 | Model Sparsity: 0.7448
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6728 | Avg CE Loss: 0.5904 | Model Sparsity: 0.7448
Retraining Epoch [10/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6814 | Avg CE Loss: 0.5904 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6807 | Avg CE Loss: 0.5955 | Model Sparsity: 0.8892
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6801 | Avg CE Loss: 0.5958 | Model Sparsity: 0.8892
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6827 | Avg CE Loss: 0.5954 | Model Sparsity: 0.8892
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6816 | Avg CE Loss: 0.5945 | Model Sparsity: 0.8892
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6808 | Avg CE Loss: 0.5958 | Model Sparsity: 0.8892
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6885 | Avg CE Loss: 0.5950 | Model Sparsity: 0.8892
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6820 | Avg CE Loss: 0.5954 | Model Sparsity: 0.8892
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6848 | Avg CE Loss: 0.5955 | Model Sparsity: 0.8892
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6789 | Avg CE Loss: 0.5960 | Model Sparsity: 0.8892
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6802 | Avg CE Loss: 0.5949 | Model Sparsity: 0.8892
Retraining Epoch [10/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6784 | Avg CE Loss: 0.5950 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6810 | Avg CE Loss: 0.5959 | Model Sparsity: 0.9424
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6809 | Avg CE Loss: 0.5963 | Model Sparsity: 0.9424
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6759 | Avg CE Loss: 0.5951 | Model Sparsity: 0.9424
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6858 | Avg CE Loss: 0.5956 | Model Sparsity: 0.9424
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6798 | Avg CE Loss: 0.5962 | Model Sparsity: 0.9424
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6812 | Avg CE Loss: 0.5956 | Model Sparsity: 0.9424
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6872 | Avg CE Loss: 0.5954 | Model Sparsity: 0.9424
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6874 | Avg CE Loss: 0.5957 | Model Sparsity: 0.9424
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6814 | Avg CE Loss: 0.5950 | Model Sparsity: 0.9424
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6838 | Avg CE Loss: 0.5966 | Model Sparsity: 0.9424
Retraining Epoch [10/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6835 | Avg CE Loss: 0.5969 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6881 | Avg CE Loss: 0.5948 | Model Sparsity: 0.95
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6873 | Avg CE Loss: 0.5947 | Model Sparsity: 0.95
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6846 | Avg CE Loss: 0.5967 | Model Sparsity: 0.95
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6902 | Avg CE Loss: 0.5953 | Model Sparsity: 0.95
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: 9.6902 | Avg CE Loss: 0.5959 | Model Sparsity: 0.95
