Model : distilbert-base-uncased - Learning Type: wikitext2/pruning/snip_pruning/0.97
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: wikitext2
num_classes: 30522
criterion: CrossEntropyLoss()
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 64
learning_rate: 5e-05
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: snip_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_snip_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_baseline.pt

Epoch [1/5]: Avg Loss: 2.9240 | Avg Accuracy: 53.26 | Avg Perplexity: 11.405 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 2.3660 | Avg Accuracy: 54.92 | Avg Perplexity: 10.200 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 2.2563 | Avg Accuracy: 56.85 | Avg Perplexity: 9.263 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 2.1844 | Avg Accuracy: 56.62 | Avg Perplexity: 9.209 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 2.1411 | Avg Accuracy: 57.29 | Avg Perplexity: 9.068 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 2.0965 | Avg Accuracy: 57.26 | Avg Perplexity: 8.710 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 2.0637 | Avg Accuracy: 57.17 | Avg Perplexity: 8.736 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 2.0289 | Avg Accuracy: 57.43 | Avg Perplexity: 8.638 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 2.0021 | Avg Accuracy: 58.51 | Avg Perplexity: 8.341 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 1.9715 | Avg Accuracy: 58.25 | Avg Perplexity: 8.305 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 1.9497 | Avg Accuracy: 58.02 | Avg Perplexity: 8.475 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 4.4850 | Avg Accuracy: 38.11 | Avg Perplexity: 40.722 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 3.6029 | Avg Accuracy: 41.00 | Avg Perplexity: 31.351 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 3.3450 | Avg Accuracy: 42.69 | Avg Perplexity: 26.639 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 3.1987 | Avg Accuracy: 44.18 | Avg Perplexity: 24.060 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 3.0905 | Avg Accuracy: 44.62 | Avg Perplexity: 23.206 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 3.0071 | Avg Accuracy: 45.59 | Avg Perplexity: 21.780 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 2.9310 | Avg Accuracy: 46.17 | Avg Perplexity: 20.878 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 2.8756 | Avg Accuracy: 47.23 | Avg Perplexity: 19.335 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 2.8292 | Avg Accuracy: 47.88 | Avg Perplexity: 18.297 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 2.7785 | Avg Accuracy: 47.74 | Avg Perplexity: 18.597 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 2.7408 | Avg Accuracy: 48.58 | Avg Perplexity: 17.581 | Model Sparsity: 0.7605
