Model : vgg11 - Learning Type: cifar10/bacp_pruning/movement_pruning/0.95
Configuration:
model_name: vgg11
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: 0.0000 | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 1.0
Retraining Epoch [1/10]: Avg Total Loss: 8.7202 | Avg PrC Loss: 4.2200 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9241 | Avg CE Loss: 0.5760 | Model Sparsity: 1.0
Retraining Epoch [2/10]: Avg Total Loss: 8.7231 | Avg PrC Loss: 4.2214 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9257 | Avg CE Loss: 0.5760 | Model Sparsity: 1.0
Retraining Epoch [3/10]: Avg Total Loss: 8.7217 | Avg PrC Loss: 4.2209 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9248 | Avg CE Loss: 0.5760 | Model Sparsity: 1.0
Retraining Epoch [4/10]: Avg Total Loss: 8.7237 | Avg PrC Loss: 4.2221 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9257 | Avg CE Loss: 0.5759 | Model Sparsity: 1.0
Retraining Epoch [5/10]: Avg Total Loss: 8.7221 | Avg PrC Loss: 4.2218 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9243 | Avg CE Loss: 0.5760 | Model Sparsity: 1.0
Retraining Epoch [6/10]: Avg Total Loss: 8.7226 | Avg PrC Loss: 4.2216 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9250 | Avg CE Loss: 0.5759 | Model Sparsity: 1.0
Retraining Epoch [7/10]: Avg Total Loss: 8.7214 | Avg PrC Loss: 4.2211 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9245 | Avg CE Loss: 0.5759 | Model Sparsity: 1.0
Retraining Epoch [8/10]: Avg Total Loss: 8.7216 | Avg PrC Loss: 4.2211 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9246 | Avg CE Loss: 0.5758 | Model Sparsity: 1.0
Retraining Epoch [9/10]: Avg Total Loss: 8.7214 | Avg PrC Loss: 4.2205 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9251 | Avg CE Loss: 0.5758 | Model Sparsity: 1.0
Retraining Epoch [10/10]: Avg Total Loss: 8.7209 | Avg PrC Loss: 4.2207 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9244 | Avg CE Loss: 0.5758 | Model Sparsity: 1.0
Epoch [2/5]: Avg Total Loss: 12.1858 | Avg PrC Loss: 4.2205 | Avg SnC Loss: 3.4654 | Avg FiC Loss: 3.9240 | Avg CE Loss: 0.5758 | Model Sparsity: 1.0
Retraining Epoch [1/10]: Avg Total Loss: 12.1859 | Avg PrC Loss: 4.2210 | Avg SnC Loss: 3.4654 | Avg FiC Loss: 3.9237 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [2/10]: Avg Total Loss: 12.1848 | Avg PrC Loss: 4.2200 | Avg SnC Loss: 3.4655 | Avg FiC Loss: 3.9235 | Avg CE Loss: 0.5758 | Model Sparsity: 1.0
Retraining Epoch [3/10]: Avg Total Loss: 12.1834 | Avg PrC Loss: 4.2194 | Avg SnC Loss: 3.4655 | Avg FiC Loss: 3.9228 | Avg CE Loss: 0.5758 | Model Sparsity: 1.0
Retraining Epoch [4/10]: Avg Total Loss: 12.1837 | Avg PrC Loss: 4.2192 | Avg SnC Loss: 3.4655 | Avg FiC Loss: 3.9233 | Avg CE Loss: 0.5758 | Model Sparsity: 1.0
Retraining Epoch [5/10]: Avg Total Loss: 12.1835 | Avg PrC Loss: 4.2191 | Avg SnC Loss: 3.4655 | Avg FiC Loss: 3.9232 | Avg CE Loss: 0.5758 | Model Sparsity: 1.0
Retraining Epoch [6/10]: Avg Total Loss: 12.1823 | Avg PrC Loss: 4.2191 | Avg SnC Loss: 3.4655 | Avg FiC Loss: 3.9220 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [7/10]: Avg Total Loss: 12.1812 | Avg PrC Loss: 4.2182 | Avg SnC Loss: 3.4655 | Avg FiC Loss: 3.9218 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [8/10]: Avg Total Loss: 12.1824 | Avg PrC Loss: 4.2188 | Avg SnC Loss: 3.4655 | Avg FiC Loss: 3.9224 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [9/10]: Avg Total Loss: 12.1806 | Avg PrC Loss: 4.2177 | Avg SnC Loss: 3.4655 | Avg FiC Loss: 3.9215 | Avg CE Loss: 0.5758 | Model Sparsity: 1.0
Retraining Epoch [10/10]: Avg Total Loss: 12.1815 | Avg PrC Loss: 4.2182 | Avg SnC Loss: 3.4656 | Avg FiC Loss: 3.9220 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Epoch [3/5]: Avg Total Loss: 15.6465 | Avg PrC Loss: 4.2184 | Avg SnC Loss: 6.9310 | Avg FiC Loss: 3.9214 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [1/10]: Avg Total Loss: 15.6457 | Avg PrC Loss: 4.2180 | Avg SnC Loss: 6.9311 | Avg FiC Loss: 3.9209 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [2/10]: Avg Total Loss: 15.6433 | Avg PrC Loss: 4.2166 | Avg SnC Loss: 6.9311 | Avg FiC Loss: 3.9199 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [3/10]: Avg Total Loss: 15.6440 | Avg PrC Loss: 4.2168 | Avg SnC Loss: 6.9312 | Avg FiC Loss: 3.9203 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [4/10]: Avg Total Loss: 15.6438 | Avg PrC Loss: 4.2171 | Avg SnC Loss: 6.9312 | Avg FiC Loss: 3.9198 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [5/10]: Avg Total Loss: 15.6433 | Avg PrC Loss: 4.2163 | Avg SnC Loss: 6.9313 | Avg FiC Loss: 3.9200 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [6/10]: Avg Total Loss: 15.6425 | Avg PrC Loss: 4.2164 | Avg SnC Loss: 6.9314 | Avg FiC Loss: 3.9190 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [7/10]: Avg Total Loss: 15.6423 | Avg PrC Loss: 4.2167 | Avg SnC Loss: 6.9315 | Avg FiC Loss: 3.9185 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [8/10]: Avg Total Loss: 15.6408 | Avg PrC Loss: 4.2155 | Avg SnC Loss: 6.9316 | Avg FiC Loss: 3.9180 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [9/10]: Avg Total Loss: 15.6394 | Avg PrC Loss: 4.2149 | Avg SnC Loss: 6.9317 | Avg FiC Loss: 3.9170 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [10/10]: Avg Total Loss: 15.6409 | Avg PrC Loss: 4.2155 | Avg SnC Loss: 6.9319 | Avg FiC Loss: 3.9178 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Epoch [4/5]: Avg Total Loss: 19.1054 | Avg PrC Loss: 4.2149 | Avg SnC Loss: 10.3975 | Avg FiC Loss: 3.9173 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [1/10]: Avg Total Loss: 19.1042 | Avg PrC Loss: 4.2137 | Avg SnC Loss: 10.3977 | Avg FiC Loss: 3.9172 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [2/10]: Avg Total Loss: 19.1030 | Avg PrC Loss: 4.2133 | Avg SnC Loss: 10.3979 | Avg FiC Loss: 3.9162 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [3/10]: Avg Total Loss: 19.1025 | Avg PrC Loss: 4.2134 | Avg SnC Loss: 10.3981 | Avg FiC Loss: 3.9152 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [4/10]: Avg Total Loss: 19.1029 | Avg PrC Loss: 4.2133 | Avg SnC Loss: 10.3984 | Avg FiC Loss: 3.9156 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [5/10]: Avg Total Loss: 19.1034 | Avg PrC Loss: 4.2137 | Avg SnC Loss: 10.3988 | Avg FiC Loss: 3.9152 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [6/10]: Avg Total Loss: 19.1012 | Avg PrC Loss: 4.2121 | Avg SnC Loss: 10.3991 | Avg FiC Loss: 3.9143 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [7/10]: Avg Total Loss: 19.1032 | Avg PrC Loss: 4.2126 | Avg SnC Loss: 10.3995 | Avg FiC Loss: 3.9154 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [8/10]: Avg Total Loss: 19.1015 | Avg PrC Loss: 4.2113 | Avg SnC Loss: 10.4001 | Avg FiC Loss: 3.9144 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [9/10]: Avg Total Loss: 19.1018 | Avg PrC Loss: 4.2118 | Avg SnC Loss: 10.4006 | Avg FiC Loss: 3.9137 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [10/10]: Avg Total Loss: 19.0990 | Avg PrC Loss: 4.2104 | Avg SnC Loss: 10.4012 | Avg FiC Loss: 3.9117 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Epoch [5/5]: Avg Total Loss: 22.5665 | Avg PrC Loss: 4.2108 | Avg SnC Loss: 13.8674 | Avg FiC Loss: 3.9127 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [1/10]: Avg Total Loss: 22.5644 | Avg PrC Loss: 4.2096 | Avg SnC Loss: 13.8682 | Avg FiC Loss: 3.9110 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [2/10]: Avg Total Loss: 22.5651 | Avg PrC Loss: 4.2091 | Avg SnC Loss: 13.8690 | Avg FiC Loss: 3.9113 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [3/10]: Avg Total Loss: 22.5677 | Avg PrC Loss: 4.2096 | Avg SnC Loss: 13.8700 | Avg FiC Loss: 3.9124 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [4/10]: Avg Total Loss: 22.5668 | Avg PrC Loss: 4.2085 | Avg SnC Loss: 13.8712 | Avg FiC Loss: 3.9115 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
