Model : vgg11 - Learning Type: cifar10/LRS_sgd_0.05/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.05
learning_type: LRS_sgd_0.05
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_magnitude_pruning_0.95_LRS_sgd_0.05.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
Recovery epoch [6/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
Recovery epoch [7/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
Recovery epoch [8/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
Recovery epoch [9/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
Recovery epoch [10/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.95
