Model : resnet50 - Learning Type: cifar10/bacp_pruning/wanda_pruning/0.99
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 1
recovery_epochs: 1
patience: 20
pruning_type: wanda_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 1
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_wanda_pruning_0.99_bacp_pruning.pt

Epoch [1/1]: Avg Total Loss: 7.8296 | Avg PrC Loss: 3.5785 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.6869 | Avg CE Loss: 0.5642 | Model Sparsity: 0.99
Retraining Epoch [1/1]: Avg Total Loss: 7.5013 | Avg PrC Loss: 3.5268 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.4869 | Avg CE Loss: 0.4877 | Model Sparsity: 0.99
