key,tier,rung,stage,label,changes,script,inherits,priority,gate,paired,cost_u,seed,model_name,dataset_name,sparsity,cfg_model_name,cfg_model_type,cfg_dataset_name,cfg_num_classes,cfg_image_size,cfg_epochs,cfg_batch_size,cfg_optimizer_type,cfg_learning_rate,cfg_scheduler_type,cfg_patience,cfg_limit_train_batches,cfg_limit_eval_batches,cfg_num_workers,cfg_experiment_type,cfg_target_sparsity,cfg_sparsity_scheduler,cfg_recovery_epochs,cfg_delta_T,cfg_pruning_type,cfg_layerwise_alloc,cfg_prune_task_head,cfg_dyrelu_en,cfg_dyrelu_phasing_en,cfg_weight_sharing_en,cfg_lambdas,cfg_num_snapshots,cfg_n_views,cfg_contrastive_mode,cfg_proj_mode,cfg_enable_finetune,cfg_optimizer_type_ft,cfg_learning_rate_ft,cfg_epochs_ft,cfg_distill_mode,cfg_lambda_kd
t0.A0.resnet34.cifar10.sdense.seed1,0,A0,A,Dense,no pruning at all,baseline,,essential,,False,1.0,1,resnet34,cifar10,,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-A,,,,,,,,,,,,,,,,,,,,,
t0.A1.resnet34.cifar10.s0.999.seed1,0,A1,A,"Uniform magnitude, head pruned",uniform layer-wise budget; classifier in the prunable scope,pruning,A0,optional,,False,1.0,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-A,0.999,cubic,0.0,1.0,local_magnitude,uniform,True,,,,,,,,,,,,,,
t0.A2.resnet34.cifar10.s0.999.seed1,0,A2,A,"Uniform magnitude, head dense",classifier removed from the prunable scope,pruning,A1,essential,,False,1.0,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-A,0.999,cubic,0.0,1.0,local_magnitude,uniform,False,,,,,,,,,,,,,,
t0.A3.resnet34.cifar10.s0.999.seed1,0,A3,A,"ERK, head pruned",layer-wise budget switched from uniform to ERK,pruning,A1,essential,,False,1.0,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-A,0.999,cubic,0.0,1.0,local_magnitude,erk,True,,,,,,,,,,,,,,
t0.A4.resnet34.cifar10.s0.999.seed1,0,A4,A,"ERK, head dense","both, to close the 2x2",pruning,A3,essential,,False,1.0,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-A,0.999,cubic,0.0,1.0,local_magnitude,erk,False,,,,,,,,,,,,,,
t0.A5.resnet34.cifar10.s0.999.seed1,0,A5,A,+ RigL drop-and-regrow,static ERK mask replaced by dynamic topology,pruning,A3,essential,,False,1.0,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-A,0.999,cubic,0.0,1.0,rigl,erk,True,,,,,,,,,,,,,,
t0.A6.resnet34.cifar10.s0.999.seed1,0,A6,A,+ EAST cyclic sparsity,RigL's schedule replaced by EAST's cyclic one,pruning,A5,high,,False,1.0,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-A,0.999,cubic,0.0,1.0,east,erk,True,,,,,,,,,,,,,,
t0.B1.resnet34.cifar10.s0.999.seed1,0,B1,B,+ DyReLU,ReLU replaced by DyReLU,pruning,A6,optional,,True,1.0,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-B,0.999,cubic,0.0,1.0,east,erk,True,True,False,,,,,,,,,,,,
t0.B2.resnet34.cifar10.s0.999.seed1,0,B2,B,+ DyReLU phasing,DyReLU phased out over training instead of held on,pruning,B1,optional,,True,1.0,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-B,0.999,cubic,0.0,1.0,east,erk,True,True,True,,,,,,,,,,,,
t0.B3.resnet34.cifar10.s0.999.seed1,0,B3,B,+ weight sharing,residual blocks share weights,pruning,B2,optional,,True,1.0,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-B,0.999,cubic,0.0,1.0,east,erk,True,True,True,True,,,,,,,,,,,
t0.C-null.resnet34.cifar10.s0.999.seed1,0,C-null,C,"BaCP path, everything BaCP-specific off",routed through BaCPTrainer with one view and no contrastive terms,bacp,,essential,G1,True,1.1,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-C,0.999,cubic,0.0,1.0,rigl,erk,True,,,,"(0.0, 0.0, 0.0, 1.0)",0.0,1.0,cap,tied_frozen,True,adamw,0.0001,2.0,none,0.0
t0.C0.resnet34.cifar10.s0.999.seed1,0,C0,C,CE only,plain supervised training on the winning substrate,pruning,,essential,,True,1.0,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-C,0.999,cubic,0.0,1.0,rigl,erk,True,,,,,,,,,,,,,,
t0.C0b.resnet34.cifar10.s0.999.seed1,0,C0b,C,CE + BaCP's two-view augmentation,two augmented views per step; objective unchanged,bacp,C-null,essential,,True,1.4,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-C,0.999,cubic,0.0,1.0,rigl,erk,True,,,,"(0.0, 0.0, 0.0, 1.0)",0.0,2.0,cap,tied_frozen,True,adamw,0.0001,2.0,none,0.0
t0.C1.resnet34.cifar10.s0.999.seed1,0,C1,C,+ KD (KL on logits),dense-teacher logit distillation added,bacp,C0b,essential,G3,True,1.6,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-C,0.999,cubic,0.0,1.0,rigl,erk,True,,,,"(0.0, 0.0, 0.0, 1.0)",0.0,2.0,cap,tied_frozen,True,adamw,0.0001,2.0,kl,1.0
t0.C2.resnet34.cifar10.s0.999.seed1,0,C2,C,+ feature distillation (same teacher),logit KD swapped for feature-level matching,bacp,C1,essential,G3,True,1.6,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-C,0.999,cubic,0.0,1.0,rigl,erk,True,,,,"(0.0, 0.0, 0.0, 1.0)",0.0,2.0,cap,tied_frozen,True,adamw,0.0001,2.0,feature,1.0
t0.C3.resnet34.cifar10.s0.999.seed1,0,C3,C,"+ contrastive form (FiC, same teacher)",feature regression swapped for the contrastive objective,bacp,C2,essential,G4,True,1.8,1,resnet34,cifar10,0.999,resnet34,cv,cifar10,10,32,2,32,sgd,0.1,cosine,0,2,2,0,ladder-C,0.999,cubic,0.0,1.0,rigl,erk,True,,,,"(0.0, 0.5, 0.0, 0.5)",0.0,2.0,cap,tied_frozen,True,adamw,0.0001,2.0,none,0.0
